Item Description,Quantity,Unit,Unit Price,Extension
"Superpave Bituminous Concrete Lower Binder Layer, 1"" Maximum Aggregate Size Mix, ESAL Range E",116,TON,83,9628
"Superpave Bituminous Concrete Lower Binder Layer, 1"" Maximum Aggregate Size Mix, ESAL Range E",116,TON,108,12528
"Superpave Bituminous Concrete Lower Binder Layer, 1"" Maximum Aggregate Size Mix, ESAL Range E",116,TON,119,13804
"Superpave Bituminous Concrete Base Layer, 1"" Maximum Aggregate Size Mix, ESAL Range E",116,TON,99.75,11571
"Superpave Bituminous Concrete Base Layer, 1"" Maximum Aggregate Size Mix, ESAL Range E",116,TON,70.78,8210.48
"Superpave Bituminous Concrete Base Layer, 1"" Maximum Aggregate Size Mix, ESAL Range E",116,TON,83,9628
"Superpave Bituminous Concrete Base Layer, 1"" Maximum Aggregate Size Mix, ESAL Range E",116,TON,108,12528
"Superpave Bituminous Concrete Base Layer, 1"" Maximum Aggregate Size Mix, ESAL Range E",116,TON,119,13804
"Superpave Bituminous Concrete Base Layer, Patching, 1"" Maximum Aggregate Size Mix, ESAL Range E",10,TON,171,1710
"Superpave Bituminous Concrete Base Layer, Patching, 1"" Maximum Aggregate Size Mix, ESAL Range E",10,TON,175.66,1756.6
"Superpave Bituminous Concrete Base Layer, Patching, 1"" Maximum Aggregate Size Mix, ESAL Range E",10,TON,205,2050
"Superpave Bituminous Concrete Base Layer, Patching, 1"" Maximum Aggregate Size Mix, ESAL Range E",10,TON,190,1900
"Superpave Bituminous Concrete Base Layer, Patching, 1"" Maximum Aggregate Size Mix, ESAL Range E",10,TON,204,2040
"Superpave Bituminous Concrete Wearing Surface Layer, 3/4"" Maximum Aggregate Size Mix, ESAL Range C/D",736,TON,83.52,61468.95
"Superpave Bituminous Concrete Wearing Surface Layer, 3/4"" Maximum Aggregate Size Mix, ESAL Range C/D",736,TON,82.5,60720
"Superpave Bituminous Concrete Wearing Surface Layer, 3/4"" Maximum Aggregate Size Mix, ESAL Range C/D",736,TON,88.43,65084.48
"Superpave Bituminous Concrete Wearing Surface Layer, 3/4"" Maximum Aggregate Size Mix, ESAL Range C/D",736,TON,81.88,60263.68
"Superpave Bituminous Concrete Wearing Surface Layer, 3/4"" Maximum Aggregate Size Mix, ESAL Range C/D",736,TON,88,64768
"Superpave Bituminous Concrete Wearing Surface Layer, Leveling, 3/4"" Maximum Aggregate Size Mix, ESAL Range C/D",50,TON,105.89,5294.31
"Superpave Bituminous Concrete Wearing Surface Layer, Leveling, 3/4"" Maximum Aggregate Size Mix, ESAL Range C/D",50,TON,104.6,5230
"Superpave Bituminous Concrete Wearing Surface Layer, Leveling, 3/4"" Maximum Aggregate Size Mix, ESAL Range C/D",50,TON,112.11,5605.5
"Superpave Bituminous Concrete Wearing Surface Layer, Leveling, 3/4"" Maximum Aggregate Size Mix, ESAL Range C/D",50,TON,103.81,5190.5
"Superpave Bituminous Concrete Wearing Surface Layer, Leveling, 3/4"" Maximum Aggregate Size Mix, ESAL Range C/D",50,TON,111,5550
"Superpave Bituminous Concrete Wearing Surface Layer, Widening, 3/4"" Maximum Aggregate Size Mix, ESAL Range C/D",50,TON,105.89,5294.31
"Superpave Bituminous Concrete Wearing Surface Layer, Widening, 3/4"" Maximum Aggregate Size Mix, ESAL Range C/D",50,TON,104.6,5230
"Superpave Bituminous Concrete Wearing Surface Layer, Widening, 3/4"" Maximum Aggregate Size Mix, ESAL Range C/D",50,TON,112.11,5605.5
"Superpave Bituminous Concrete Wearing Surface Layer, Widening, 3/4"" Maximum Aggregate Size Mix, ESAL Range C/D",50,TON,103.81,5190.5
"Superpave Bituminous Concrete Wearing Surface Layer, Widening, 3/4"" Maximum Aggregate Size Mix, ESAL Range C/D",50,TON,111,5550
"Superpave Bituminous Concrete Upper Binder Layer, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",1064,TON,78.94,83989.82
"Superpave Bituminous Concrete Upper Binder Layer, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",1064,TON,77.8,82779.2
"Superpave Bituminous Concrete Upper Binder Layer, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",1064,TON,83.58,88929.12
"Superpave Bituminous Concrete Upper Binder Layer, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",1064,TON,77.39,82342.96
"Superpave Bituminous Concrete Upper Binder Layer, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",1064,TON,80.35,85492.4
"Superpave Bituminous Concrete Upper Binder Layer, Patching, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",50,TON,107.5,5374.89
"Superpave Bituminous Concrete Upper Binder Layer, Patching, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",50,TON,106.19,5309.5
"Superpave Bituminous Concrete Upper Binder Layer, Patching, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",50,TON,113.82,5691
"Superpave Bituminous Concrete Upper Binder Layer, Patching, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",50,TON,105.39,5269.5
"Superpave Bituminous Concrete Upper Binder Layer, Patching, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",50,TON,113,5650
"Superpave Bituminous Concrete Upper Binder Layer, Leveling, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",250,TON,107.94,26985
"Superpave Bituminous Concrete Upper Binder Layer, Leveling, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",250,TON,99.94,24985
"Superpave Bituminous Concrete Upper Binder Layer, Leveling, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",250,TON,107,26750
"Superpave Bituminous Concrete Upper Binder Layer, Leveling, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",50,TON,101.91,5095.41
"Superpave Bituminous Concrete Upper Binder Layer, Leveling, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",50,TON,100.7,5035
"Superpave Bituminous Concrete Upper Binder Layer, Leveling, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",50,TON,107.9,5395
"Superpave Bituminous Concrete Upper Binder Layer, Leveling, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",50,TON,99.91,4995.5
"Superpave Bituminous Concrete Upper Binder Layer, Leveling, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",50,TON,107,5350
"Superpave Bituminous Concrete Upper Binder Layer, Widening, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",50,TON,101.91,5095.41
"Superpave Bituminous Concrete Upper Binder Layer, Widening, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",50,TON,100.7,5035
"Superpave Bituminous Concrete Upper Binder Layer, Widening, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",50,TON,107.9,5395
"Superpave Bituminous Concrete Upper Binder Layer, Widening, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",50,TON,99.91,4995.5
"Superpave Bituminous Concrete Upper Binder Layer, Widening, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",50,TON,105,5250
"Superpave Bituminous Concrete Lower Binder Layer, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",2580,TON,79.5,205106.9
"Superpave Bituminous Concrete Lower Binder Layer, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",2580,TON,78.53,202607.4
"Superpave Bituminous Concrete Lower Binder Layer, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",2580,TON,84.18,217184.4
"Superpave Bituminous Concrete Lower Binder Layer, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",2580,TON,77.94,201085.2
"Superpave Bituminous Concrete Lower Binder Layer, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",2580,TON,80,206400
"Superpave Bituminous Concrete Lower Binder Layer, Leveling, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",687,TON,98.13,67418.2
"Superpave Bituminous Concrete Lower Binder Layer, Leveling, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",687,TON,96.94,66597.78
"Superpave Bituminous Concrete Lower Binder Layer, Leveling, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",687,TON,103.91,71386.17
"Superpave Bituminous Concrete Lower Binder Layer, Leveling, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",687,TON,96.21,66096.27
"Superpave Bituminous Concrete Lower Binder Layer, Leveling, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",687,TON,103,70761
"Superpave Bituminous Concrete Wearing Surface Layer, 3/8"" Maximum Aggregate Size Mix, ESAL Range A/B",27,TON,148,3996
"Superpave Bituminous Concrete Wearing Surface Layer, 3/8"" Maximum Aggregate Size Mix, ESAL Range A/B",27,TON,237.56,6414.12
"Superpave Bituminous Concrete Wearing Surface Layer, 3/8"" Maximum Aggregate Size Mix, ESAL Range A/B",27,TON,205,5535
"Superpave Bituminous Concrete Wearing Surface Layer, 3/8"" Maximum Aggregate Size Mix, ESAL Range A/B",27,TON,250,6750
"Superpave Bituminous Concrete Upper Binder Layer, Leveling, 1/2"" Maximum Aggregate Size Mix, ESAL Range A/B",28,TON,148,4144
"Superpave Bituminous Concrete Upper Binder Layer, Leveling, 1/2"" Maximum Aggregate Size Mix, ESAL Range A/B",28,TON,237.56,6651.68
"Superpave Bituminous Concrete Upper Binder Layer, Leveling, 1/2"" Maximum Aggregate Size Mix, ESAL Range A/B",28,TON,185,5180
"Superpave Bituminous Concrete Upper Binder Layer, Leveling, 1/2"" Maximum Aggregate Size Mix, ESAL Range A/B",28,TON,275,7700
"Superpave Bituminous Concrete Base Layer, 1"" Maximum Aggregate Size Mix, ESAL Range A/B",28,TON,148,4144
"Superpave Bituminous Concrete Base Layer, 1"" Maximum Aggregate Size Mix, ESAL Range A/B",28,TON,356.35,9977.8
"Superpave Bituminous Concrete Base Layer, 1"" Maximum Aggregate Size Mix, ESAL Range A/B",28,TON,185,5180
"Superpave Bituminous Concrete Base Layer, 1"" Maximum Aggregate Size Mix, ESAL Range A/B",28,TON,250,7000
"Superpave Bituminous Concrete Wearing Surface Layer, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",3650,TON,78,284700
"Superpave Bituminous Concrete Wearing Surface Layer, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",3650,TON,78.78,287547
"Superpave Bituminous Concrete Wearing Surface Layer, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",3650,TON,80.59,294153.5
"Superpave Bituminous Concrete Upper Binder Layer, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",5885,TON,60,353100
"Superpave Bituminous Concrete Upper Binder Layer, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",5885,TON,60.6,356631
"Superpave Bituminous Concrete Upper Binder Layer, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",5885,TON,64.01,376698.85
"Superpave Bituminous Concrete Wearing Surface Layer, 1/2"" Maximum Aggregate Size Mix, ESAL Range E",19428,TON,68.54,1331595.12
"Superpave Bituminous Concrete Wearing Surface Layer, 1/2"" Maximum Aggregate Size Mix, ESAL Range E",19428,TON,69,1340532
"Superpave Bituminous Concrete Wearing Surface Layer, 1/2"" Maximum Aggregate Size Mix, ESAL Range E",19428,TON,69.66,1353354.48
"Superpave Bituminous Concrete Wearing Surface Layer, Leveling, 1/2"" Maximum Aggregate Size Mix, ESAL Range E",200,TON,70.83,14166
"Superpave Bituminous Concrete Wearing Surface Layer, Leveling, 1/2"" Maximum Aggregate Size Mix, ESAL Range E",200,TON,74,14800
"Superpave Bituminous Concrete Wearing Surface Layer, Leveling, 1/2"" Maximum Aggregate Size Mix, ESAL Range E",200,TON,89.27,17854
"Superpave Bituminous Concrete Wearing Surface Layer, Widening, 1/2"" Maximum Aggregate Size Mix, ESAL Range E",1396,TON,72.92,101796.32
"Superpave Bituminous Concrete Wearing Surface Layer, Widening, 1/2"" Maximum Aggregate Size Mix, ESAL Range E",1396,TON,73,101908
"Superpave Bituminous Concrete Wearing Surface Layer, Widening, 1/2"" Maximum Aggregate Size Mix, ESAL Range E",1396,TON,92.24,128767.04
"Superpave Bituminous Concrete Wearing Surface Layer, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",4696,TON,63.95,300309.2
"Superpave Bituminous Concrete Wearing Surface Layer, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",4696,TON,61.85,290447.6
"Superpave Bituminous Concrete Wearing Surface Layer, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",4696,TON,62.83,295049.68
"Superpave Bituminous Concrete Wearing Surface Layer, Widening, 3/4"" Maximum Aggregate Size Mix, ESAL Range C/D",461,TON,77.35,35658.35
"Superpave Bituminous Concrete Wearing Surface Layer, Widening, 3/4"" Maximum Aggregate Size Mix, ESAL Range C/D",461,TON,75,34575
"Superpave Bituminous Concrete Wearing Surface Layer, Widening, 3/4"" Maximum Aggregate Size Mix, ESAL Range C/D",461,TON,76.54,35284.94
"Superpave Bituminous Concrete Upper Binder Layer, 3/4"" Maximum Aggregate Size Mix, ESAL Range E",23745,TON,64.03,1520392.35
"Superpave Bituminous Concrete Upper Binder Layer, 3/4"" Maximum Aggregate Size Mix, ESAL Range E",23745,TON,63.4,1505433
"Superpave Bituminous Concrete Upper Binder Layer, 3/4"" Maximum Aggregate Size Mix, ESAL Range E",23745,TON,67.22,1596138.9
"Superpave Bituminous Concrete Upper Binder Layer, Patching, 3/4"" Maximum Aggregate Size Mix, ESAL Range E",200,TON,81.1,16220
"Superpave Bituminous Concrete Upper Binder Layer, Patching, 3/4"" Maximum Aggregate Size Mix, ESAL Range E",200,TON,90,18000
"Superpave Bituminous Concrete Upper Binder Layer, Patching, 3/4"" Maximum Aggregate Size Mix, ESAL Range E",200,TON,97.14,19428
"Superpave Bituminous Concrete Upper Binder Layer, 3/4"" Maximum Aggregate Size Mix, ESAL Range C/D",5739,TON,58.77,337281.03
"Superpave Bituminous Concrete Upper Binder Layer, 3/4"" Maximum Aggregate Size Mix, ESAL Range C/D",5739,TON,60.14,345143.46
"Superpave Bituminous Concrete Wearing Surface Layer, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",14694,TON,63.65,935273.1
"Superpave Bituminous Concrete Wearing Surface Layer, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",14694,TON,65.82,967159.08
"Superpave Bituminous Concrete Upper Binder Layer, 3/4"" Maximum Aggregate Size Mix, ESAL Range C/D",8039,TON,55.94,449701.66
"Superpave Bituminous Concrete Upper Binder Layer, 3/4"" Maximum Aggregate Size Mix, ESAL Range C/D",8039,TON,61.39,493514.21
"Superpave Bituminous Concrete Upper Binder Layer, Patching, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",500,TON,78.57,39285
"Superpave Bituminous Concrete Upper Binder Layer, Patching, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",500,TON,85,42500
"Superpave Bituminous Concrete Wearing Surface Layer, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",3000,TON,73.15,219450
"Superpave Bituminous Concrete Wearing Surface Layer, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",3000,TON,73.5,220500
"Superpave Bituminous Concrete Wearing Surface Layer, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",3000,TON,77.3,231900
"Superpave Bituminous Concrete Wearing Surface Layer, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",3000,TON,74.92,224760
"Superpave Bituminous Concrete Wearing Surface Layer, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",3000,TON,78,234000
"Superpave Bituminous Concrete Wearing Surface Layer, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",3000,TON,83.34,250020
"Superpave Bituminous Concrete Upper Binder Layer, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",2682,TON,64.5,172989
"Superpave Bituminous Concrete Upper Binder Layer, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",2682,TON,68.85,184655.7
"Superpave Bituminous Concrete Upper Binder Layer, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",2682,TON,68.25,183046.5
"Superpave Bituminous Concrete Upper Binder Layer, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",2682,TON,65.67,176126.94
"Superpave Bituminous Concrete Upper Binder Layer, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",2682,TON,75,201150
"Superpave Bituminous Concrete Upper Binder Layer, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",2682,TON,71.15,190824.3
"Superpave Bituminous Concrete Upper Binder Layer, Leveling, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",710,TON,70.85,50303.5
"Superpave Bituminous Concrete Upper Binder Layer, Leveling, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",710,TON,74.5,52895
"Superpave Bituminous Concrete Upper Binder Layer, Leveling, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",710,TON,54.1,38411
"Superpave Bituminous Concrete Upper Binder Layer, Leveling, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",710,TON,74.25,52717.5
"Superpave Bituminous Concrete Upper Binder Layer, Leveling, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",710,TON,75,53250
"Superpave Bituminous Concrete Upper Binder Layer, Leveling, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",710,TON,72.15,51226.5
"Superpave Bituminous Concrete Lower Binder Layer, Patching, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",300,TON,72,21600
"Superpave Bituminous Concrete Lower Binder Layer, Patching, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",300,TON,75,22500
"Superpave Bituminous Concrete Lower Binder Layer, Patching, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",300,TON,56,16800
"Superpave Bituminous Concrete Lower Binder Layer, Patching, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",300,TON,93.19,27957
"Superpave Bituminous Concrete Lower Binder Layer, Patching, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",300,TON,90,27000
"Superpave Bituminous Concrete Lower Binder Layer, Patching, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",300,TON,118.36,35508
"Superpave Bituminous Concrete Wearing Surface Layer, 3/8"" Maximum Aggregate Size Mix, ESAL Range C/D",10036,TON,76,762736
"Superpave Bituminous Concrete Wearing Surface Layer, 3/8"" Maximum Aggregate Size Mix, ESAL Range C/D",10036,TON,71.5,717574
"Superpave Bituminous Concrete Wearing Surface Layer, 3/8"" Maximum Aggregate Size Mix, ESAL Range C/D",10036,TON,78.1,783811.6
"Superpave Bituminous Concrete Wearing Surface Layer, 3/8"" Maximum Aggregate Size Mix, ESAL Range C/D",10036,TON,77.92,782005.12
"Superpave Bituminous Concrete Wearing Surface Layer, Leveling, 3/8"" Maximum Aggregate Size Mix, ESAL Range C/D",200,TON,84,16800
"Superpave Bituminous Concrete Wearing Surface Layer, Leveling, 3/8"" Maximum Aggregate Size Mix, ESAL Range C/D",200,TON,71.5,14300
"Superpave Bituminous Concrete Wearing Surface Layer, Leveling, 3/8"" Maximum Aggregate Size Mix, ESAL Range C/D",200,TON,78.1,15620
"Superpave Bituminous Concrete Wearing Surface Layer, Leveling, 3/8"" Maximum Aggregate Size Mix, ESAL Range C/D",200,TON,83.18,16636
"Superpave Bituminous Concrete Wearing Surface Layer, 1/2"" Maximum Aggregate Size Mix, ESAL  Range A/B",6431,TON,72.23,464511.13
"Superpave Bituminous Concrete Wearing Surface Layer, 1/2"" Maximum Aggregate Size Mix, ESAL  Range A/B",6431,TON,70.86,455700.66
"Superpave Bituminous Concrete Upper Binder Layer, 3/4"" Maximum Aggregate Size Mix, ESAL Range A/B",9051,TON,63.34,573290.34
"Superpave Bituminous Concrete Upper Binder Layer, 3/4"" Maximum Aggregate Size Mix, ESAL Range A/B",9051,TON,66.52,602072.52
"Superpave Bituminous Concrete Base Layer, Patching, 1"" Maximum Aggregate Size Mix, ESAL Range A/B",200,TON,103.72,20744
"Superpave Bituminous Concrete Base Layer, Patching, 1"" Maximum Aggregate Size Mix, ESAL Range A/B",200,TON,85,17000
"Superpave Bituminous Concrete Wearing Surface Layer, Leveling, 3/8"" Maximum Aggregate Size Mix, ESAL Range C/D",9898,TON,68,673064
"Superpave Bituminous Concrete Wearing Surface Layer, Leveling, 3/8"" Maximum Aggregate Size Mix, ESAL Range C/D",9898,TON,83.65,827967.7
"Superpave Bituminous Concrete Wearing Surface Layer, 3/4"" Maximum Aggregate Size Mix, ESAL Range C/D",24018,TON,69,1657242
"Superpave Bituminous Concrete Wearing Surface Layer, 3/4"" Maximum Aggregate Size Mix, ESAL Range C/D",24018,TON,77.25,1855390.5
"Superpave Bituminous Concrete Upper Binder Layer, Patching, 1"" Maximum Aggregate Size Mix, ESAL Range C/D",500,TON,108.36,54180
"Superpave Bituminous Concrete Upper Binder Layer, Widening, 1 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",6014,TON,69,414966
"Superpave Bituminous Concrete Upper Binder Layer, Widening, 1 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",6014,TON,68.36,411117.04
"Superpave Bituminous Concrete Wearing Surface Layer, Leveling, 3/8"" Maximum Aggregate Size Mix, ESAL Range C/D",5000,TON,66.05,330250
"Superpave Bituminous Concrete Wearing Surface Layer, Leveling, 3/8"" Maximum Aggregate Size Mix, ESAL Range C/D",5000,TON,65.91,329550
"Superpave Bituminous Concrete Wearing Surface Layer, Leveling, 3/8"" Maximum Aggregate Size Mix, ESAL Range C/D",5000,TON,67,335000
"Superpave Bituminous Concrete Wearing Surface Layer, Leveling, 3/8"" Maximum Aggregate Size Mix, ESAL Range C/D",5000,TON,71,355000
"Superpave Bituminous Concrete Wearing Surface Layer, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",9350,TON,64.5,603075
"Superpave Bituminous Concrete Wearing Surface Layer, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",9350,TON,64.98,607563
"Superpave Bituminous Concrete Wearing Surface Layer, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",9350,TON,57,532950
"Superpave Bituminous Concrete Wearing Surface Layer, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",9350,TON,70.15,655902.5
"Superpave Bituminous Concrete Wearing Surface Layer, Patching, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",250,TON,69,17250
"Superpave Bituminous Concrete Wearing Surface Layer, Patching, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",250,TON,82.42,20605
"Superpave Bituminous Concrete Wearing Surface Layer, Patching, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",250,TON,70,17500
"Superpave Bituminous Concrete Wearing Surface Layer, Patching, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",250,TON,58.32,14580
"Superpave Bituminous Concrete Wearing Surface Layer, Widening, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",400,TON,66.5,26600
"Superpave Bituminous Concrete Wearing Surface Layer, Widening, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",400,TON,83.68,33472
"Superpave Bituminous Concrete Wearing Surface Layer, Widening, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",400,TON,70,28000
"Superpave Bituminous Concrete Wearing Surface Layer, Widening, 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",400,TON,120.75,48300
"Superpave Bituminous Concrete Upper Binder Layer, Widening, 1 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",1700,TON,55.6,94520
"Superpave Bituminous Concrete Upper Binder Layer, Widening, 1 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",1700,TON,63.91,108647
"Superpave Bituminous Concrete Upper Binder Layer, Widening, 1 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",1700,TON,62,105400
"Superpave Bituminous Concrete Upper Binder Layer, Widening, 1 1/2"" Maximum Aggregate Size Mix, ESAL Range C/D",1700,TON,62.05,105485
"Superpave Bituminous Concrete Wearing Surface Layer, Leveling, 3/8"" Maximum Aggregate Size Mix, ESAL Range A/B",7509,TON,85.5,642019.5
"Superpave Bituminous Concrete Wearing Surface Layer, 3/4"" Maximum Aggregate Size Mix, ESAL Range A/B",16185,TON,67.06,1085366.1
"Superpave Bituminous Concrete Wearing Surface Layer, 3/4"" Maximum Aggregate Size Mix, ESAL Range A/B",16185,TON,83.5,1351447.5
